iter	Passed	Remaining
765	7841	2395
766	7847	2383
767	7853	2372
768	7865	2362
769	7870	2351
770	7876	2339
771	7882	2328
772	7890	2316
773	7899	2306
774	7905	2295
775	7913	2284
776	7918	2272
777	7923	2260
778	7933	2250
779	7939	2239
780	7948	2228
781	7954	2217
782	7967	2208
783	7972	2196
784	7983	2186
785	7992	2176
786	7998	2164
787	8003	2153
788	8011	2142
789	8024	2132
790	8030	2121
791	8040	2111
792	8047	2100
793	8055	2089
794	8060	2078
795	8067	2067
796	8074	2056
797	8084	2046
798	8088	2034
799	8094	2023
800	8099	2012
801	8105	2001
802	8110	1989
803	8115	1978
804	8120	1967
805	8127	1956
806	8133	1945
807	8138	1933
808	8148	1923
809	8153	1912
810	8159	1901
811	8164	1890
812	8170	1879
813	8178	1868
814	8183	1857
815	8188	1846
816	8193	1835
817	8197	1823
818	8201	1812
819	8207	1801
820	8212	1790
821	8218	1779
822	8224	1768
823	8230	1757
824	8236	1747
825	8240	1735
826	8246	1725
827	8257	1715
828	8263	1704
829	8268	1693
830	8274	1682
831	8279	1671
832	8284	1660
833	8289	1649
834	8295	1639
835	8301	1628
836	8306	1617
837	8310	1606
838	8316	1595
839	8321	1584
840	8326	1574
841	8330	1563
842	8336	1552
843	8340	1541
844	8346	1531
845	8356	1521
846	8363	1510
847	8372	1500
848	8377	1490
849	8382	1479
850	8388	1468
851	8393	1458
852	8399	1447
853	8404	1436
854	8410	1426
855	8419	1416
856	8423	1405
857	8427	1394
858	8434	1384
859	8438	1373
860	8445	1363
861	8451	1352
862	8456	1342
863	8463	1332
864	8468	1321
865	8473	1311
866	8479	1300
867	8484	1290
868	8490	1279
869	8494	1269
870	8499	1258
871	8504	1248
872	8510	1238
873	8515	1227
874	8523	1217
875	8529	1207
876	8535	1197
877	8540	1186
878	8546	1176
879	8553	1166
880	8558	1156
881	8562	1145
882	8567	1135
883	8572	1124
884	8577	1114
885	8583	1104
886	8588	1094
887	8593	1083
888	8603	1074
889	8608	1064
890	8617	1054
891	8622	1043
892	8632	1034
893	8638	1024
894	8648	1014
895	8654	1004
896	8659	994
897	8664	984
898	8669	974
899	8675	963
900	8680	953
901	8685	943
902	8695	934
903	8701	924
904	8706	913
905	8712	903
906	8717	893
907	8723	883
908	8727	873
909	8732	863
910	8737	853
911	8741	843
912	8746	833
913	8752	823
914	8757	813
915	8762	803
916	8767	793
917	8773	783
918	8779	773
919	8784	763
920	8791	754
921	8796	744
922	8802	734
923	8806	724
924	8813	714
925	8817	704
926	8826	695
927	8831	685
928	8838	675
929	8842	665
930	8848	655
931	8854	646
932	8862	636
933	8868	626
934	8873	616
935	8879	607
936	8888	597
937	8893	587
938	8898	578
939	8905	568
940	8911	558
941	8921	549
942	8927	539
943	8932	529
944	8943	520
945	8950	510
946	8955	501
947	8961	491
948	8970	482
949	8975	472
950	8998	463
951	9008	454
952	9014	444
953	9023	435
954	9031	425
955	9036	415
956	9043	406
957	9048	396
958	9055	387
959	9077	378
960	9114	369
961	9133	360
962	9144	351
963	9159	342
964	9164	332
965	9178	323
966	9183	313
967	9188	303
968	9209	294
969	9218	285
970	9224	275
971	9229	265
972	9234	256
973	9241	246
974	9253	237
975	9262	227
976	9311	219
977	9318	209
978	9327	200
979	9365	191
980	9372	181
981	9410	172
982	9416	162
983	9424	153
984	9429	143
985	9436	133
986	9450	124
987	9457	114
988	9463	105
989	9470	95
990	9477	86
991	9484	76
992	9490	66
993	9497	57
994	9502	47
995	9508	38
996	9515	28
997	9520	19
998	9530	9
999	9537	0
